;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RUSSIAN FLAT PRODUCTS;;;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;;2014;2015;Q1 2016;H1 2016;9M 2016;2016;Q1 2017;H1 2017;9M 2017;2017;Q1 2018;H1 2018;9M 2018;2018;Q1 2019;H1 2019;9M 2019;2019;Q1 2020;H1 2020;9M 2020;2020;Q1 2021;H1 2021;9M 2021;2021;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SEGMENT SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Hot-rolled steel;kT;;;747;618;730;504;651;751;659;595;514;666;565;545;686;588;563;669;641;764;680;693;666;599;613;794;;2 379;2 510;747;1 365;2 095;2 599;651;1 402;2 061;2 656;514;1 181;1 746;2 291;686;1 274;1 837;2 506;641;1 405;2 085;2 778;666;1 265;1 879;2 673;;;;;;;;;;;;;;;;;;;
;;;Other metal products**;kT;;;;;;-;;;;-;;;;-;;;;-;-;-;-;-;-;-;29;7;;-;-;;;;-;-;-;-;-;-;-;-;-;;;;-;-;-;-;-;-;-;29;36;;;;;;;;;;;;;;;;;;;
;;;High value added products:;kT;;;703;835;834;701;674;806;859;773;739;807;893;800;808;802;869;806;871;730;898;806;784;771;649;873;;3 100;2 990;703;1 538;2 372;3 073;674;1 480;2 339;3 112;739;1 546;2 439;3 239;808;1 610;2 479;3 286;871;1 601;2 500;3 306;784;1 555;2 204;3 078;;;;;;;;;;;;;;;;;;;
;;;Cold-rolled steel;kT;;;370;407;387;300;317;385;374;361;318;362;389;379;392;388;415;364;416;322;411;374;387;323;281;373;;1 507;1 434;370;778;1 164;1 464;317;702;1 075;1 436;318;679;1 068;1 447;392;780;1 195;1 559;416;738;1 149;1 524;387;711;992;1 364;;;;;;;;;;;;;;;;;;;
;;;Galvanized steel;kT;;;112;171;175;162;145;165;227;176;195;194;227;188;195;172;200;213;216;185;229;203;184;212;175;255;;588;648;112;283;458;620;145;310;537;713;195;389;616;804;195;368;567;780;216;400;629;833;184;396;571;826;;;;;;;;;;;;;;;;;;;
;;;Pre-painted steel;kT;;;91;119;138;112;75;102;133;96;87;101;128;111;89;100;117;113;97;96;129;82;81;96;69;117;;514;375;91;210;348;459;75;177;310;406;87;188;316;427;89;189;306;419;97;193;322;405;81;177;246;363;;;;;;;;;;;;;;;;;;;
;;;Dynamo steel;kT;;;58;73;79;75;82;87;62;68;72;77;79;53;61;68;75;50;72;62;66;68;65;62;55;60;;233;256;58;131;211;285;82;169;231;299;72;149;228;281;61;129;203;253;72;134;200;268;65;127;182;242;;;;;;;;;;;;;;;;;;;
;;;Transformer steel;kT;;;72;64;55;54;56;66;63;72;68;73;69;70;71;74;63;66;70;65;64;78;67;77;69;68;;258;277;72;136;191;245;56;122;186;258;68;141;210;280;71;145;208;274;70;135;199;277;67;144;214;282;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;REVENUE PER TONNE FROM EXTERNAL CUSTOMERS *;;USD/t;;;380;503;549;564;632;660;606;671;707;710;707;635;611;680;666;567;550;488;496;581;766;953;1 024;933;;697;517;380;435;474;494;632;647;631;642;707;709;708;687;611;642;649;629;550;517;510;526;766;866;920;924;;;;;;;;;;;;;;;;;;;
